Created_Date,Property_Type,Property_Address,Number_of_bedroom(s),Price_Month,Price_Week,Agent_Name,Agent_Location,Agent_Number
22/09/2023,Apartment,"Lionel Road South, Brentford, Middlesex, Tw8",2,2575,594,Apo,Kew Bridge,020 3910 6585
30-09-2023,Flat,"Galleria House, Royal Eden Docks, 12 Western Gateway, Custom House",1,2253,520,Lessel,Hammersmith,020 3909 6586
30-09-2023,House Share,"Vernon House, London, Se11",1,1200,277,Openrent,London,020 3322 3265
29-09-2023,Detached House,West End Street,8,600,138,Speedy Lettings,Wembley,020 3840 3568
29-09-2023,Maisonette,"Hill Top, Hampstead Garden Suburb, Nw11",1,1550,358,Jeremy Leaf & Co,East Finchley,020 3889 9180
29-09-2023,Apartment,"Lancaster Road, Barnet, En4",2,2100,485,Chancellors,Barnet,020 3871 8374
29-09-2023,Flat,Henderson Drive,2,2650,612,Scraye,London,020 3834 8234
29-09-2023,Flat,Edgware Road,2,3012,695,Scraye,London,020 3834 8234
29-09-2023,Flat,Duchess Walk,2,3878,895,Scraye,London,020 3834 8234
29-09-2023,Flat,"Cromwell Road, South Kensington",2,2492,575,Pomp Properties,London,020 3840 3585
29-09-2023,Apartment,"Blackwall Way, London, E14",2,2860,660,Ukmate,London,020 3984 8345
29-09-2023,Flat,"Broad Street, Brighton, Bn2",1,875,202,Bv Students By Brand Vaughan,Brighton,01273 109894
29-09-2023,Flat,"Dovetail Place, Lawrence Road, Seven Sisters, N15 4Fx",2,1700,392,L&Q,Lettings,020 3370 9509
29-09-2023,Semi-Detached House,"Burlington Road, Burnham, Slough, Sl1",3,2100,485,Oakwood Estates,Burnham,01628 563704
29-09-2023,End Of Terrace House,"Coalmans Way, Burnham, Slough, Sl1",3,1975,456,Oakwood Estates,Burnham,01628 563704
29-09-2023,Apartment,"Clarence Gate Gardens, Glentworth Street, Marylebone, London, Nw1",4,7345,1695,Kubie Gold Associates,London,020 3834 8585
29-09-2023,Terraced House,"Devonshire Road, Gillingham, Me7 1Lt",3,1250,288,Lettingaproperty.Com,Nationwide - Lettings,0121 285 6320
29-09-2023,House,"Evelyn Street, Depford, London Se8",5,5000,1154,Storeys,London Lettings,020 8106 5686
29-09-2023,Flat,"South Central Steedman Street, Elephant And Castle Se17",2,2492,575,Black Katz,London Bridge,020 3879 5741
29-09-2023,Property,"Norton Road, Uxbridge, Ub8",1,700,162,Lords Associates Of London,Middlesex,01895 545728
08/09/2023,Apartment,"Waterside Lane, Colchester",3,1950,450,Jackson & Co Ltd,Colchester,01206 586134
29-09-2023,Apartment,"Winsham Grove, London",3,6000,1385,Exchange Residential Ltd,Newcastle Upon Tyne,0191 625 0988
29-09-2023,Semi-Detached House,"Pentreath Avenue, Guildford",3,2100,485,Property Lounge,Guildford,01483 694589
29-09-2023,Apartment,"Park Road , Camden",1,2249,519,Martin & Co,Camden,020 3907 3306
29-09-2023,Apartment,"Muswell Hill, London, N10",1,2015,465,Home Made,London,01202 145329
29-09-2023,Detached House,"Mandela Street, Oval, Sw9",4,3900,900,Davis & Gibbs Ltd,Oval,020 3910 6356
29-09-2023,Flat,Margery Street,4,1430,330,Studenttenant,Canterbury,03337 720618
29-09-2023,Flat,Zinc Street Sugar House Island E15,3,3200,738,Jll,Stratford,020 3840 3310
29-09-2023,Apartment,"Tennyson Apartments, Saffron Central Square, Croydon, Cr0",2,1700,392,1St Avenue,Surrey,020 3834 8042
29-09-2023,Flat,"High Road, Willesden Green Nw10",1,1625,375,Black Katz,West Hampstead,020 3869 5941
29-09-2023,Terraced House,"Rambler Lane, Dartford, Kent, Da1",2,1650,381,Alexander Charles & Browne,Forest Hill,020 3906 8785
29-09-2023,Apartment,"Lawrence House, City Road, Clerkenwell, London, Ec1V",1,2650,612,Victorstone,City Road,020 3834 7921
29-09-2023,Apartment,"Earlham Street, Covent Garden, Wc2",2,5308,1225,Tavistock Bow,London,020 3872 0732
29-09-2023,Terraced House,"Hudson Court, Guildford",5,2000,462,Cobbles Estate Agents,Guildford,01483 968204
29-09-2023,Apartment,"Arthur Deakin House, Hunton Street, Shoreditch, London, E1",2,2300,531,Victorstone,City Road,020 3834 7921
29-09-2023,Property,Cunningham Avenue,1,570,132,Nicholas Humphreys,Hatfield,01707 938841
29-09-2023,Apartment,"Merchants House, Stratford, E20",1,2200,508,Home Made,London,01202 145329
29-09-2023,Semi-Detached House,"Cleveland Road, Uxbridge, Ub8",5,3000,692,Lords Associates Of London,Middlesex,01895 545728
29-09-2023,Flat,"Montpelier Road, Brighton, Bn1",1,800,185,Openrent,London,020 3322 3265
29-09-2023,Detached House,"Robin Hood Lane, Blue Bell Hill, Chatham, Me5",5,3000,692,Alexander Charles & Browne,Forest Hill,020 3906 8785
29-09-2023,Flat,"Petersfield Rise, Roehampton",3,2650,612,Lawsons & Daughters,London,020 3869 9447
29-09-2023,Flat,"Montpelier Road, City Centre, Brighton, Bn1",1,800,185,Belvoir -  Brighton And Hove,Brighton,01273 109702
29-09-2023,Flat,"Porthall Mews, Brighton, Bn1",3,1800,415,Belvoir -  Brighton And Hove,Brighton,01273 109702
28/09/2023,Apartment,"Madison, Wembley Park, Ha9",1,2278,526,Home Made,London,01202 145329
29-09-2023,Flat,"Montpelier Road, City Centre, Brighton, Bn1",1,800,185,Belvoir -  Brighton And Hove,Brighton,01273 109702
29-09-2023,Flat,"Porthall Mews, Brighton, Bn1",3,1800,415,Belvoir -  Brighton And Hove,Brighton,01273 109702
29-09-2023,Flat,"Montpelier Road, City Centre, Brighton, Bn1",1,875,202,Belvoir -  Brighton And Hove,Brighton,01273 109702
29-09-2023,Flat,"Goldstone Villas, Hove, Bn3",2,1400,323,Belvoir -  Brighton And Hove,Brighton,01273 109702
29-09-2023,Apartment,"Greenford Quay, Greenford, Ub6",1,1955,451,Home Made,London,01202 145329
29-09-2023,Apartment,"Greenford Quay, Greenford, Ub6",1,2000,462,Home Made,London,01202 145329
29-09-2023,Apartment,"Jamestown Way, Atlantic Court",3,2899,669,Tony Alan Estates,London,020 3834 8169
29-09-2023,Apartment,"Dalmeny Avenue, London",4,3399,784,Tony Alan Estates,London,020 3834 8169
29-09-2023,Flat,Peerless Street,4,4400,1015,Scraye,London,020 3834 8234
29-09-2023,Flat,"Carver House, Alpini Road, Nw9",2,1825,421,L&Q,Lettings,020 3370 9509
29-09-2023,Terraced House,"Romford, Essex",4,2500,577,Net Lettings,London,020 3892 9578
29-09-2023,Flat,"Stroudley House, Patmore Estate, London, Sw8",4,3250,750,Jorgensen Turner,Queens Park And Kensal Branch - Lettings,020 3834 8250
29-09-2023,Semi-Detached House,"Great West Road, Hounslow, Tw5",5,2700,623,Blue Estate Agents Ltd,Heston,020 3909 0321
29-09-2023,Flat,"Warren House, Kensington",2,3467,800,Pomp Properties,London,020 3840 3585
29-09-2023,Flat,Cromwell Road,2,5981,1380,Scraye,London,020 3834 8234
29-09-2023,Terraced House,"Appleby Close, Seven Sisters, N15",4,3395,783,Uni Living London,London,020 3909 3849
29-09-2023,Apartment,"Gilstead Road, London, Sw6",2,2000,462,Cow & Co,London,020 3909 6649
29-09-2023,Apartment,"Grosvenor Street, London",1,3250,750,Tony Alan Estates,London,020 3834 8169
29-09-2023,Apartment,"Portlands Place, London, E20",1,2465,569,Home Made,London,01202 145329
29-09-2023,Flat,"Repton Gardens, Wembley Park, Ha9",3,3726,860,Home Made,London,01202 145329
29-09-2023,Flat,"Repton Gardens, Wembley Park, Ha9",2,2755,636,Home Made,London,01202 145329
29-09-2023,Flat,"Repton Gardens, Wembley Park, Ha9",1,1977,456,Home Made,London,01202 145329
29-09-2023,Apartment,"The Robinson, Wembley, Ha9",1,2016,465,Home Made,London,01202 145329
29-09-2023,Apartment,"Alameda, Wembley Park, Ha9",1,2204,509,Home Made,London,01202 145329
29-09-2023,Apartment,"Alto, Wembley Park, Ha9",1,2149,496,Home Made,London,01202 145329
29-09-2023,Apartment,"Madison, Wembley Park, Ha9",2,2842,656,Home Made,London,01202 145329
29-09-2023,Apartment,"Madison, Wembley Park, Ha9",1,2145,495,Home Made,London,01202 145329
29-09-2023,Apartment,"Canada Gardens, Wembley, Ha9",1,2114,488,Home Made,London,01202 145329
29-09-2023,Apartment,"Canada Gardens, Wembley, Ha9",2,2641,609,Home Made,London,01202 145329
29-09-2023,Apartment,"Landsby Building, Wembley Park, Ha9",1,2094,483,Home Made,London,01202 145329
29-09-2023,Apartment,"Landsby Building, Wembley Park, Ha9",2,2476,571,Home Made,London,01202 145329
29-09-2023,Apartment,"Ferrum, Wembley Park, Ha9",1,2066,477,Home Made,London,01202 145329
29-09-2023,Apartment,"Ferrum, Wembley Park, Ha9",2,2431,561,Home Made,London,01202 145329
29-09-2023,Flat,"Dakota, Wembley Park, Ha9",1,1989,459,Home Made,London,01202 145329
29-09-2023,Maisonette,"Clyde Road, Brighton, Bn1",2,1500,346,Jack Taggart & Co,Hove,01273 109878
29-09-2023,Flat,"King Frederick Ninth Tower, London, Se16",1,1825,421,Chanin Estates,London,020 3907 2608
29-09-2023,Town House,"Queen Of Denmark Court, Surrey Quays, Se16",4,3500,808,Chanin Estates,London,020 3907 2608
29-09-2023,Apartment,"Queen Of Denmark Court, Surrey Quays, Se16",2,2300,531,Chanin Estates,London,020 3907 2608
29-09-2023,Apartment,"Portlands Place, London, E20",1,2465,569,Home Made,London,01202 145329
29-09-2023,Apartment,"King Frederick Tower, Surrey Quays, Se16",1,1850,427,Chanin Estates,London,020 3907 2608
28/09/2023,Maisonette,"Trundley'S Terrace, Surrey Quays, Se8",4,3597,830,Chanin Estates,London,020 3907 2608
28/09/2023,Terraced House,"Montpelier Road, Brighton, Bn1",4,2600,600,Openrent,London,020 3322 3265
28/09/2023,Flat,"Alexandra Court, Maida Vale, London W9",2,3033,700,Sn Estates London,London,020 3871 1988
28/09/2023,Apartment,"Thurnscoe, Pratt Street, Camden, London, Nw1",4,3141,725,Victorstone,City Road,020 3834 7921
28/09/2023,Flat,"Wyndham Road, Camberwell, Se5",2,2200,508,Fish Need Water,London,07401 088917
28/09/2023,Apartment,"Geary Street, Islington,  London, N7",3,2900,669,Victorstone,City Road,020 3834 7921
28/09/2023,Flat,"40 Lampeter Square, London, W6 8Ps",5,4801,1108,Lawsons & Daughters,London,020 3869 9447
28/09/2023,Flat Share,"Holly Court John Harrison Way    (North Greenwich), London, Se10",1,1278,295,Apartment Wharf,London,05600 650598
28/09/2023,Flat Share,"Holly Court John Harrison Way    (North Greenwich), London, Se10",1,1083,250,Apartment Wharf,London,05600 650598
28/09/2023,Flat Share,"Holly Court John Harrison Way    (North Greenwich), London, Se10",1,910,210,Apartment Wharf,London,05600 650598
28/09/2023,Apartment,"Seckloe House, 101 North Thirteenth Street, Milton Keynes, Mk9",2,1325,306,Elevation,Milton Keynes,01908 103259
28/09/2023,Apartment,"William Iv Street, Covent Garden, Wc2",1,2708,625,Tavistock Bow,London,020 3872 0732
28/09/2023,Apartment,"Dulverton, Royal College Street, London, Camden, Nw1",3,3100,715,Victorstone,City Road,020 3834 7921
28/09/2023,Semi-Detached House,"Poplar Avenue, Hove, East Sussex, Bn3",4,2250,519,Bv Students By Brand Vaughan,Brighton,01273 109894
28/09/2023,Semi-Detached House,"Mascot Square, Colchester, Essex, Co4",4,1700,392,Saxons Estate Agents,Colchester,01206 586094
28/09/2023,Flat,"London, Greater London, Se8",3,2950,681,Kallars,London,020 3835 4661
28/09/2023,Apartment,"Palace Gate, London, W8 5Ls, Uk",1,3300,762,Blueground Furnished Apartments Uk Ltd,London,020 3319 6480
28/09/2023,Apartment,"Courtfield Gardens, London, Sw5 0Pj, Uk",1,3210,741,Blueground Furnished Apartments Uk Ltd,London,020 3319 6480
28/09/2023,Flat,"Wimpole Street, London, W1G",2,5800,1338,Eson2,London,020 4538 8807
28/09/2023,Apartment,"Canning Road, Harrow",2,2200,508,Connells Lettings,Harrow,020 3834 7888
29-09-2023,Apartment,"Ferrum, Wembley Park, Ha9",2,2431,561,Home Made,London,01202 145329
28/09/2023,Detached House,"Malam Gardens, London, E14",4,3200,738,Movehome,London,020 3835 5699
28/09/2023,Apartment,"Homer Street, Marylebone, London W1H",4,5850,1350,London Habitat,West Hampstead,020 3907 3316
28/09/2023,Apartment,"Arthur Road, London, N7",1,2500,577,Propertyloop,London,020 3907 2895
28/09/2023,Apartment,"Meranti House, Goodmans Field, Alie Street, E1",1,3033,700,Claremont Estates,Whitechapel,020 3910 6061
28/09/2023,Apartment,"Meranti House, Alie Street, E1",1,3142,725,Claremont Estates,Whitechapel,020 3910 6061
28/09/2023,Apartment,"Meranti House, Alie Street, E1",1,3250,750,Claremont Estates,Whitechapel,020 3910 6061
28/09/2023,Flat,"Bowling Green Street, London, Se11",3,2999,692,Cubix Estate Agents,London,020 3962 1707
28/09/2023,Semi-Detached House,"Leas Court , Iver, Sl0",1,1250,288,Hilton King & Locke,Farnham Common,01753 362500
28/09/2023,Property,"Tilstone Avenue, Eton Wick, Windsor, Sl4",3,1900,438,Oakwood Estates,Datchet,01753 387396
28/09/2023,Maisonette,"Hungerford Road, London, N7",3,2600,600,Openrent,London,020 3322 3265
28/09/2023,Apartment,"Greenford Quay, Greenford, Ub6",3,3255,751,Home Made,London,01202 145329
28/09/2023,Flat,"Phoenix Court, Kings Cross, Nw1",3,3792,875,Sn Estates London,London,020 3871 1988
28/09/2023,Apartment,Brighton Square,2,2000,462,Leaders Lettings,Kemptown,01273 109887
28/09/2023,Apartment,"1 Cezanne Road, London, W3",2,2250,519,Folio London,London,020 3893 8970
28/09/2023,Apartment,"Park Street, London, Sw6",1,3250,750,Celestial Globe,Westminster,020 7583 3111
28/09/2023,Flat,"Treveris Street, Waterloo, Se1",1,2350,542,Davis & Gibbs Ltd,Oval,020 3910 6356
28/09/2023,Semi-Detached House,"Castle Street, Brighton, East Sussex, Bn1 2Hd",4,2200,508,Hw Estate Agents,Hove,01273 109712
28/09/2023,Flat,"Westbourne Park Road, London, W11",1,1750,404,Upad,Coventry,020 3866 6837
28/09/2023,End Of Terrace House,"Townley Street, Elephant & Castle, Se17",4,4850,1119,Davis & Gibbs Ltd,Oval,020 3910 6356
28/09/2023,Flat Share,"Vicarage Park, London Se18 7Su",1,780,180,Greens,London - Lettings,020 3909 6787
28/09/2023,Apartment,"Alto, Wembley Park, Ha9",2,2681,619,Home Made,London,01202 145329
28/09/2023,Apartment,Brighton Square,1,1500,346,Leaders Lettings,Kemptown,01273 109887
28/09/2023,Flat,"The Stage, 22 Hewett Street, London",1,3250,750,Cityzen,London,020 3879 9100
28/09/2023,Apartment,"Renaissance Walk, Greenwich, London, Se10",3,2900,669,1St Avenue,London,020 3909 6734
28/09/2023,Flat,"Hazellville Road, Archway  N19",6,5698,1315,Black Katz,Islington,020 3835 3598
28/09/2023,Apartment,"Viaduct Gardens, London, Sw11",2,4333,1000,Celestial Globe,Westminster,020 7583 3111
28/09/2023,Apartment,"John Harrison Way, Greenwich, London, Se10",2,1950,450,1St Avenue,London,020 3909 6734
28/09/2023,Apartment,"Greenlands,Cambridge",2,2100,485,Alexander Greens,Cambridge,01223 972785
28/09/2023,Apartment,"Rossmore Court, Park Road, Regents Park, London, Nw1",1,2383,550,Kubie Gold Associates,London,020 3834 8585
28/09/2023,Flat,King'S Cross Road,2,2999,692,Scraye,London,020 3834 8234
28/09/2023,Apartment,"Long Road, Canvey Island, Ss8",1,950,219,The Property Specialists,Billericay,01277 674268
28/09/2023,Terraced House,Corporation Street,6,5000,1154,Scraye,London,020 3834 8234
28/09/2023,Flat,"Ashfield House, Highbury New Park, London",2,2200,508,Tony Alan Estates,London,020 3834 8169
28/09/2023,Apartment,"Fathom Court, 2 Basin Approach, London, E16",2,2000,462,1St Avenue,London,020 3909 6734
28/09/2023,House,"Haydon Place, Friary And St Nicolas, Gu1",1,950,219,Guildford Estate Agents,Guildford,01483 968703
28/09/2023,Flat,Regent Street,1,1295,299,Belvoir -  Brighton And Hove,Brighton,01273 109702
28/09/2023,Apartment,"Greenford Quay, Greenford, Ub6",1,2040,471,Home Made,London,01202 145329
28/09/2023,House Share,New Road,7,305,70,Studenttenant,Canterbury,03337 720618
28/09/2023,Terraced House,Washington Street,3,1800,415,Belvoir -  Brighton And Hove,Brighton,01273 109702
28/09/2023,House,"Lindfield Gardens, Castle, Gu1",6,3700,854,Guildford Estate Agents,Guildford,01483 968703
28/09/2023,Apartment,"Portlands Place, London, E20",1,2545,587,Home Made,London,01202 145329
28/09/2023,Apartment,"Muswell Hill, London, N10",3,3401,785,Home Made,London,01202 145329
28/09/2023,Flat,"Great Ormond Street, Bloomsbury, Wc1N",2,2665,615,Greater London Properties,Bloomsbury,020 3893 8926
28/09/2023,Flat,"Repton Gardens, Wembley Park, Ha9",1,2167,500,Home Made,London,01202 145329
24/09/2023,Terraced House,"Pilgrimage Street, London, Se1",3,2652,612,Residential Realtors,London,020 3834 8384
28/09/2023,Flat,"Repton Gardens, Wembley Park, Ha9",2,2906,671,Home Made,London,01202 145329
28/09/2023,Flat,"Repton Gardens, Wembley Park, Ha9",3,3813,880,Home Made,London,01202 145329
28/09/2023,Apartment,"Hithe Grove, London, Se16",1,1850,427,Chanin Estates,London,020 3907 2608
28/09/2023,Apartment,"Floor Flat, 19 Colenso Road , London E5 0Sl",2,1750,404,Ewemove,Covering Greater London,01274 086670
28/09/2023,Apartment,"Sutherland Street, London, Sw1V",1,3090,713,Celestial Globe,Westminster,020 7583 3111
28/09/2023,Terraced House,"South Road, Englefield Green",2,2100,485,Aspen Estate Agents Limited,Surrey,01784 771469
28/09/2023,Apartment,"The Robinson, Wembley, Ha9",4,4526,1044,Home Made,London,01202 145329
28/09/2023,Apartment,"The Robinson, Wembley, Ha9",3,3486,804,Home Made,London,01202 145329
28/09/2023,Flat,"London Terrace, Brighton, East Sussex, Bn1",1,1150,265,G4 Lets,Brighton,01273 109779
28/09/2023,Apartment,"Bevenden Street, Shoreditch, London, N1",1,2320,535,Victorstone,City Road,020 3834 7921
28/09/2023,Apartment,"The Robinson, Wembley, Ha9",2,2831,653,Home Made,London,01202 145329
28/09/2023,Apartment,"The Robinson, Wembley, Ha9",1,2139,494,Home Made,London,01202 145329
28/09/2023,Apartment,"Alameda, Wembley Park, Ha9",3,3506,809,Home Made,London,01202 145329
28/09/2023,Apartment,"Alameda, Wembley Park, Ha9",2,2801,646,Home Made,London,01202 145329
28/09/2023,Apartment,"Alto, Wembley Park, Ha9",3,3916,904,Home Made,London,01202 145329
28/09/2023,Apartment,"Alto, Wembley Park, Ha9",2,2681,619,Home Made,London,01202 145329
28/09/2023,Apartment,"Beeley House, Clarendon, N8",2,2994,691,Harvey W James,London,020 3909 6747
28/09/2023,Apartment,"Brunswick Mansions, Handel Street, Bloomsbury, Wc1N",3,3358,775,Fyfe Mcdade Limited,Bloomsbury,020 3909 9271
28/09/2023,Apartment,"Thanet Street, Bloomsbury, Wc1H",2,2535,585,Fyfe Mcdade Limited,Bloomsbury,020 3909 9271
28/09/2023,Apartment,"Madison, Wembley Park, Ha9",3,3412,787,Home Made,London,01202 145329
28/09/2023,Apartment,"Madison, Wembley Park, Ha9",2,2880,665,Home Made,London,01202 145329
28/09/2023,Apartment,"Madison, Wembley Park, Ha9",1,2278,526,Home Made,London,01202 145329
08/06/2023,Flat,"Fountain Park Way, London, W12",4,12000,2769,One Move Group,London,020 3840 3700
28/09/2023,Apartment,"Greenford Quay, Greenford, Ub6",2,2465,569,Home Made,London,01202 145329
28/09/2023,Apartment,"Canada Gardens, Wembley, Ha9",3,3576,825,Home Made,London,01202 145329
28/09/2023,Apartment,"Canada Gardens, Wembley, Ha9",2,2718,627,Home Made,London,01202 145329
28/09/2023,Apartment,"Canada Gardens, Wembley, Ha9",1,2364,546,Home Made,London,01202 145329
28/09/2023,Apartment,"Landsby Building, Wembley Park, Ha9",3,3551,819,Home Made,London,01202 145329
28/09/2023,Apartment,"Montana, Quintain Living, Wembley Ha9",3,3671,847,Home Made,London,01202 145329
28/09/2023,Apartment,"Ferrum, Wembley Park, Ha9",2,2571,593,Home Made,London,01202 145329
28/09/2023,Apartment,"Ferrum, Wembley Park, Ha9",3,3388,782,Home Made,London,01202 145329
28/09/2023,Apartment,"Beton, Wembley Park, Ha9",1,2093,483,Home Made,London,01202 145329
28/09/2023,Apartment,"Latitude House, Oval Road, Nw1",2,4983,1150,Berkshire Hathaway Homeservices,Kings Cross,020 3834 8034
27/09/2023,Semi-Detached House,"Broadwater Road, Tooting, London, Sw17",4,3000,692,Cross & Prior,Colliers Wood,020 3909 6622
27/09/2023,House,"Temple Way, Rayleigh",5,2000,462,Connells Lettings,Rayleigh,01268 203698
27/09/2023,Flat,"Riverside Court, London, Sw8",1,3800,877,Openrent,London,020 3322 3265
27/09/2023,Apartment,"Osier Lane, London, Se10",2,2000,462,1St Avenue,London,020 3909 6734
27/09/2023,Mews House,"Gloucester Mews, Paddington, London, W2",3,5997,1384,Kubie Gold Associates,London,020 3834 8585
27/09/2023,Apartment,"10 Park Drive, E14",1,2600,600,Harvey W James,London,020 3909 6747
27/09/2023,Apartment,"Chandos Close, Buckingham",1,1150,265,Connells Lettings,Buckingham,01280 733178
27/09/2023,Apartment,"Chandos Close, Buckingham",1,1150,265,Connells Lettings,Buckingham,01280 733178
27/09/2023,Apartment,"Chandos Close, Buckingham",1,1250,288,Connells Lettings,Buckingham,01280 733178
27/09/2023,Block Of Apartments,Berkeley House Hay Hill W1J,1,3683,850,Cluttons,Hyde Park - Lettings,020 3910 0994
27/09/2023,Apartment,"Camden Road, London, Nw1",3,2800,646,Hunters,Camden,020 3834 8439
27/09/2023,Mews House,"London Mews, Paddington, W2",2,3500,808,Davis & Gibbs Ltd,Oval,020 3910 6356
27/09/2023,Flat,"Bridgewater Square, London, Ec2Y",2,2750,635,Upad,Coventry,020 3866 6837
27/09/2023,Flat,"Pitfield Street, Old Street, London, N1",2,2500,577,Upad,Coventry,020 3866 6837
27/09/2023,Flat,"Monument Street, Monument, London, Ec3R",2,2750,635,Upad,Coventry,020 3866 6837
27/09/2023,Flat,"Aviation Avenue, Hatfield, Al10",3,1650,381,Moving Places,Hatfield,01707 241249
27/09/2023,Apartment,"Bedford Court Mansions, London",2,5417,1250,Rokstone,London,020 7580 2030
27/09/2023,Flat,City Road,1,3293,760,Scraye,London,020 3834 8234
27/09/2023,Flat,Little Britain,2,4650,1073,Scraye,London,020 3834 8234
27/09/2023,Flat,Uxbridge Road,1,1733,400,Scraye,London,020 3834 8234
27/09/2023,Flat,"Merchant Square, Paddington, London W2",3,7323,1690,Sn Estates London,London,020 3871 1988
27/09/2023,Semi-Detached House,"Goodwood Close, Hoddesdon, En11",3,2000,462,Woodhouse,Cheshunt,01992 661939
27/09/2023,Flat,"196 Sussex Gardens, London, W2",2,2990,690,Pvl Properties,London,020 3910 6360
27/09/2023,Apartment,"Railway Street, Chatham, Me4",2,1250,288,Haus Estate Agents,Rainham,01630 410889
27/09/2023,Apartment,"Talacre Road, Kentish Town, Nw5",1,2100,485,Olivers Town,Kentish Town - Lettings,020 3835 3421
27/09/2023,House,"53 Winchester House Hallfield Estate, London, London",1,1100,254,Hybr,London,020 3966 4594
27/09/2023,Apartment,"Curzon Road, Muswell Hill, N10 2Rb",2,2000,462,L&Q,Lettings,020 3370 9509
27/09/2023,Mews House,"London Mews, Paddington, W2",2,3500,808,Davis & Gibbs Ltd,Oval,020 3910 6356
27/09/2023,Flat,"West Park Close, London, Rm6",1,1175,271,Openrent,London,020 3322 3265
27/09/2023,Semi-Detached House,"Reynolds Drive, Edgware, Ha8",4,2900,669,Infinity Property Solutions,Harrow,020 3910 6091
27/09/2023,Apartment,"Hand Axe Yard, London, Wc1X",2,3800,877,Life Residential,Nine Elms Riverside Office - Lettings,020 3869 5749
27/09/2023,Flat,"East Street, Brighton, Bn1 1Hn",2,3500,808,King & Chasemore Lettings,Brighton,01273 109830
27/09/2023,Detached House,"Kennington Road, Kennington, Se11",4,4500,1038,Davis & Gibbs Ltd,Oval,020 3910 6356
27/09/2023,Terraced House,"Meadow Place, Vauxhall, Sw8",4,4300,992,Davis & Gibbs Ltd,Oval,020 3910 6356
27/09/2023,Apartment,"Ebury Place, 1B Sutherland St, Pimlico, London Sw1",1,3000,692,London Capital Homes,London,020 3840 3969
18/08/2023,Apartment,Woodley House Twodios,1,1473,340,Martin & Co,Reading,0118 230 2093
27/09/2023,Terraced House,"Larcom Street, London, Se17",4,4250,981,Davis & Gibbs Ltd,Oval,020 3910 6356
27/09/2023,Terraced House,"Astbury Road, London",4,3700,854,Gareth James Property,Peckham Rye- Lettings,020 3907 9835
27/09/2023,End Of Terrace House,Friary Road,5,4750,1096,Gareth James Property,Peckham Rye- Lettings,020 3907 9835
27/09/2023,Flat,"Hayter Road, Brixton Hill Sw2",2,2297,530,Black Katz,London Bridge,020 3879 5741
27/09/2023,Flat,Cadogan Square,2,12000,2769,Scraye,London,020 3834 8234
27/09/2023,Apartment,"Peloton Avenue, Stratford, E20",1,2200,508,Highcastle Estates,London,020 3840 3606
27/09/2023,House Share,Room 39 Martindale Court,1,425,98,Walmsley Estate Agents,Caversham,0118 230 2452
27/09/2023,Apartment,"Casson Apartments, 43 Upper North Street, London, E14",1,1700,392,1St Avenue,London,020 3909 6734
27/09/2023,Apartment,"Gloucester Mansions, 140A Shaftesbury Avenue, Wc2H",2,3467,800,Cbre Residential,West End,020 3835 6483
27/09/2023,Apartment,"Essex Street, Covent Garden, Wc2R",1,3250,750,Cbre Residential,West End,020 3835 6483
27/09/2023,Terraced House,"Sussex Way, N19 - Eddison Court",3,3000,692,Jtm Homes,London - Lettings,020 3862 2266
